Title,Director(s),Year,Genre(s)
Encanto,Jared Bush/Byron Howard,2021,Animation/Comedy
A Clockwork Orange,Stanley Kubrick,1971,Crime/Sci-Fi
Army of Darkness,Sam Raimi,1993,Comedy/Horror
Dune,Denis Villeneuve,2021,Action/Adventure
Toy Story 4,Josh Cooley,2019,Animation/Adventure/Comedy/Family
Star Wars: Episode IX - The Rise of Skywalker,J. J. Abrams,2019,Action/Adventure/Sci-Fi
Captain America: Civil War,Anthony Russo/Joe Russo,2016,Action/Adventure/Sci-Fi
Thor: Ragnarok,Taika Waititi,2017,Action/Adventure/Comedy
Pulp Fiction,Quentin Tarantino,1994,Crime/Drama
2001: A Space Odyssey,Stanley Kubrick,1968,Adventure/Sci-Fi
The Master of Disguise,Perry Andelin Blake,2002,Adventure/Comedy/Family
Django Unchained,Quentin Tarantino,2012,Drama/Western
Joe Dirt,Dennie Gordon,2001,Adventure/Comedy
Anger Management,Peter Segal,2003,Comedy
Big Daddy,Dennis Dugan,1999,Comedy/Drama
Zootopia,Jared Bush/Rich Moore/Byron Howard,2016,Animation/Adventure/Comedy
Deadpool,Tim Miller,2016,Action/Adventure/Comedy
Avengers: Endgame,Anthony Russo/Joe Russo,2019,Action/Adventure/Drama
Reservoir Dogs,Quentin Tarantino,1992,Crime/Drama/Thriller
American Psycho,Mary Harron,2000,Crime/Drama/Horror
Treasure Planet,Ron Clements/John Musker,2002,Animation/Adventure
Sonic the Hedgehog,Jeff Fowler,2020,Action/Adventure/Comedy
Super Mario Bros.,Annabel Jankel/Rocky Morton,1993,Adventure/Comedy
Toy Story 3,Lee Unkrich,2010,Animation/Adventure/Comedy/Family
Toy Story,John Lasseter,1995,Family/Animation
Toy Story 2,John Lasseter/ Lee Unkrich/ Ash Brannon,1999,Animation/ Comedy/ Adventure
